    ITER        TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0   0.000E+00     0.0051   1.000E+00   0.0000   0.0017   0.000E+00   0.00000000E+00   0.00000000E+00   2.98250000E+02
      10   1.000E+01     2.4992   1.000E+00   0.0000   0.0016   5.928E-18   2.45729180E-18   3.04630039E-34   2.98249853E+02
      20   2.000E+01     2.5132   1.000E+00   0.0000   0.0016   5.649E-18  -1.97847615E-19   2.53780513E-34   2.98249706E+02
      30   3.000E+01     2.4947   1.000E+00   0.0000   0.0015   6.034E-18  -7.82601989E-19   2.93776396E-34   2.98249559E+02
      40   4.000E+01     2.4974   1.000E+00   0.0000   0.0015   6.062E-18   2.49554381E-18   2.50488739E-34   2.98249412E+02
      50   5.000E+01     2.5025   1.000E+00   0.0000   0.0015   5.788E-18   1.23048716E-18   2.63135992E-34   2.98249265E+02
      60   6.000E+01     2.5120   1.000E+00   0.0000   0.0015   4.594E-18  -5.01231956E-18   2.12535406E-34   2.98249118E+02
      70   7.000E+01     2.5472   1.000E+00   0.0000   0.0014   5.345E-18   4.53902987E-18   2.68606413E-34   2.98248972E+02
      80   8.000E+01     3.7535   1.000E+00   0.0000   0.0014   6.115E-18  -6.31364150E-18   2.56890779E-34   2.98248825E+02
      90   9.000E+01     3.2436   1.000E+00   0.0000   0.0014   6.301E-18  -2.06795133E-18   3.09533500E-34   2.98248678E+02
     100   1.000E+02     2.7665   1.000E+00   0.0000   0.0014   6.657E-18  -2.09691580E-18   2.80120430E-34   2.98248531E+02
     110   1.100E+02     2.5222   1.000E+00   0.0000   0.0014   6.013E-18   1.23347727E-18   2.89547582E-34   2.98248384E+02
     120   1.200E+02     2.5168   1.000E+00   0.0000   0.0013   6.238E-18   5.62540999E-18   2.82089777E-34   2.98248237E+02
     130   1.300E+02     2.5331   1.000E+00   0.0000   0.0013   5.344E-18   7.89054631E-19   2.62624591E-34   2.98248090E+02
     140   1.400E+02     2.5098   1.000E+00   0.0000   0.0013   6.231E-18   4.83155082E-18   2.32631517E-34   2.98247943E+02
     150   1.500E+02     2.4930   1.000E+00   0.0000   0.0013   6.002E-18  -3.33143555E-18   2.36681930E-34   2.98247796E+02
     160   1.600E+02     2.4933   1.000E+00   0.0000   0.0013   6.814E-18  -8.60570144E-18   2.85927929E-34   2.98247649E+02
