    ITER        TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0   0.000E+00     0.0000   1.000E+01   0.0000   0.0000   0.000E+00   0.00000000E+00   0.00000000E+00   2.93000000E+02
      10   1.000E+02     0.0124   1.000E+01   0.0000   0.0003   1.503E-16  -9.33498071E-17   4.79818216E-31   2.92998924E+02
      20   2.000E+02     0.0041   1.000E+01   0.0000   0.0005   1.309E-16  -3.77410776E-16   3.49822751E-31   2.92997848E+02
      30   3.000E+02     0.0037   1.000E+01   0.0000   0.0006   1.259E-16   4.16333634E-17   3.69145600E-31   2.92996771E+02
      40   4.000E+02     0.0037   1.000E+01   0.0000   0.0007   1.634E-16   2.90313202E-16   6.34502782E-31   2.92995695E+02
      50   5.000E+02     0.0037   1.000E+01   0.0000   0.0008   1.191E-16  -1.63569968E-16   3.51682540E-31   2.92994619E+02
      60   6.000E+02     0.0037   1.000E+01   0.0000   0.0008   2.247E-16   8.38088279E-17   6.56986133E-31   2.92993543E+02
      70   7.000E+02     0.0045   1.000E+01   0.0000   0.0009   2.065E-16  -1.32561786E-16   7.18570523E-31   2.92992466E+02
      80   8.000E+02     0.0057   1.000E+01   0.0000   0.0010   2.216E-16   1.23960448E-17   8.81044468E-31   2.92991390E+02
      90   9.000E+02     0.0051   1.000E+01   0.0000   0.0010   1.711E-16   2.62557626E-16   6.85317909E-31   2.92990314E+02
     100   1.000E+03     0.0039   1.000E+01   0.0000   0.0011   1.916E-16  -3.07949557E-16   5.96274577E-31   2.92989238E+02
     110   1.100E+03     0.0037   1.000E+01   0.0000   0.0011   2.037E-16  -1.91723084E-16   5.83554830E-31   2.92988162E+02
     120   1.200E+03     0.0049   1.000E+01   0.0000   0.0012   1.751E-16  -1.91903785E-16   7.89285128E-31   2.92987086E+02
     130   1.300E+03     0.0055   1.000E+01   0.0000   0.0012   2.111E-16  -1.58112817E-16   7.68619143E-31   2.92986010E+02
     140   1.400E+03     0.0044   1.000E+01   0.0000   0.0012   2.047E-16   3.81458464E-16   8.86357995E-31   2.92984934E+02
     150   1.500E+03     0.0040   1.000E+01   0.0000   0.0013   2.104E-16   7.04008611E-17   6.18362064E-31   2.92983858E+02
     160   1.600E+03     0.0037   1.000E+01   0.0000   0.0013   1.171E-16   6.50521303E-18   3.11533337E-31   2.92982782E+02
     170   1.700E+03     0.0037   1.000E+01   0.0000   0.0014   1.399E-16   2.90168641E-16   4.97091066E-31   2.92981706E+02
     180   1.800E+03     0.0037   1.000E+01   0.0000   0.0014   1.791E-16   9.63132930E-17   6.56875919E-31   2.92980631E+02
     190   1.900E+03     0.0060   1.000E+01   0.0000   0.0014   1.811E-16   3.61653705E-16   8.12372025E-31   2.92979555E+02
     200   2.000E+03     0.0037   1.000E+01   0.0000   0.0015   1.961E-16  -1.23960448E-16   4.99200038E-31   2.92978480E+02
     210   2.100E+03     0.0037   1.000E+01   0.0000   0.0015   1.632E-16  -3.04696951E-16   6.32630768E-31   2.92977404E+02
     220   2.200E+03     0.0037   1.000E+01   0.0000   0.0015   1.522E-16   5.54388711E-17   4.22549113E-31   2.92976329E+02
     230   2.300E+03     0.0037   1.000E+01   0.0000   0.0016   1.812E-16  -1.04444809E-17   5.54431868E-31   2.92975254E+02
     240   2.400E+03     0.0037   1.000E+01   0.0000   0.0016   2.122E-16   1.00433261E-16   5.85969514E-31   2.92974179E+02
     250   2.500E+03     0.0037   1.000E+01   0.0000   0.0016   2.311E-16   5.95226993E-17   6.98512284E-31   2.92973104E+02
     260   2.600E+03     0.0037   1.000E+01   0.0000   0.0017   1.566E-16   3.14418630E-17   5.44887544E-31   2.92972029E+02
     270   2.700E+03     0.0038   1.000E+01   0.0000   0.0017   1.648E-16   2.70653002E-16   7.56230917E-31   2.92970954E+02
     280   2.800E+03     0.0049   1.000E+01   0.0000   0.0017   1.523E-16   3.06034133E-16   6.11750833E-31   2.92969879E+02
     290   2.900E+03     0.0042   1.000E+01   0.0000   0.0018   1.995E-16   4.81964006E-16   7.05362396E-31   2.92968805E+02
     300   3.000E+03     0.0042   1.000E+01   0.0000   0.0018   2.022E-16  -9.08561421E-17   6.86925546E-31   2.92967731E+02
     310   3.100E+03     0.0037   1.000E+01   0.0000   0.0018   1.352E-16   7.44485492E-18   5.76344901E-31   2.92966656E+02
     320   3.200E+03     0.0037   1.000E+01   0.0000   0.0018   1.825E-16  -1.25369911E-16   4.10837574E-31   2.92965582E+02
     330   3.300E+03     0.0037   1.000E+01   0.0000   0.0019   2.218E-16   2.42283045E-16   9.17861432E-31   2.92964508E+02
     340   3.400E+03     0.0037   1.000E+01   0.0000   0.0019   1.939E-16   2.50631402E-16   6.67318488E-31   2.92963434E+02
     350   3.500E+03     0.0037   1.000E+01   0.0000   0.0019   1.314E-16   3.49835901E-17   4.37786989E-31   2.92962360E+02
     360   3.600E+03     0.0046   1.000E+01   0.0000   0.0019   2.196E-16  -3.02492406E-17   6.26979451E-31   2.92961287E+02
     370   3.700E+03     0.0061   1.000E+01   0.0000   0.0020   1.676E-16   2.22695126E-16   4.99411857E-31   2.92960213E+02
     380   3.800E+03     0.0037   1.000E+01   0.0000   0.0020   1.255E-16   4.81530325E-16   8.34969373E-31   2.92959140E+02
     390   3.900E+03     0.0050   1.000E+01   0.0000   0.0020   2.039E-16   5.58074998E-16   9.15333189E-31   2.92958066E+02
     400   4.000E+03     0.0037   1.000E+01   0.0000   0.0020   1.738E-16   3.35090751E-16   8.54109180E-31   2.92956993E+02
     410   4.100E+03     0.0037   1.000E+01   0.0000   0.0020   1.669E-16   9.67831139E-17   5.19746886E-31   2.92955920E+02
     420   4.200E+03     0.0037   1.000E+01   0.0000   0.0021   1.958E-16   1.56847914E-16   5.86056094E-31   2.92954847E+02
     430   4.300E+03     0.0042   1.000E+01   0.0000   0.0021   1.204E-16  -2.50956663E-16   6.75744912E-31   2.92953774E+02
     440   4.400E+03     0.0044   1.000E+01   0.0000   0.0021   1.473E-16  -2.92734587E-18   4.75875033E-31   2.92952702E+02
     450   4.500E+03     0.0044   1.000E+01   0.0000   0.0021   1.628E-16   2.94975271E-16   5.92831747E-31   2.92951629E+02
     460   4.600E+03     0.0046   1.000E+01   0.0000   0.0021   2.286E-16   1.30104261E-16   8.22250295E-31   2.92950557E+02
     470   4.700E+03     0.0056   1.000E+01   0.0000   0.0022   2.155E-16   3.19478240E-16   6.48004959E-31   2.92949484E+02
     480   4.800E+03     0.0044   1.000E+01   0.0000   0.0022   1.374E-16   1.81640004E-16   5.04356749E-31   2.92948412E+02
     490   4.900E+03     0.0047   1.000E+01   0.0000   0.0022   1.536E-16   2.65990933E-17   5.45752248E-31   2.92947340E+02
     500   5.000E+03     0.0044   1.000E+01   0.0000   0.0022   1.289E-16  -3.16731595E-16   4.65568445E-31   2.92946268E+02
     510   5.100E+03     0.0048   1.000E+01   0.0000   0.0022   2.055E-16   6.85324193E-16   9.14510050E-31   2.92945196E+02
     520   5.200E+03     0.0042   1.000E+01   0.0000   0.0023   1.898E-16   4.33897709E-16   7.08202600E-31   2.92944124E+02
     530   5.300E+03     0.0060   1.000E+01   0.0000   0.0023   1.657E-16  -7.60387124E-17   6.15099769E-31   2.92943053E+02
     540   5.400E+03     0.0043   1.000E+01   0.0000   0.0023   2.143E-16   1.97975317E-16   7.49853719E-31   2.92941981E+02
     550   5.500E+03     0.0064   1.000E+01   0.0000   0.0023   1.787E-16   8.67000337E-17   6.47034283E-31   2.92940910E+02
     560   5.600E+03     0.0037   1.000E+01   0.0000   0.0023   1.747E-16   1.28514098E-16   7.01381849E-31   2.92939839E+02
     570   5.700E+03     0.0037   1.000E+01   0.0000   0.0023   1.300E-16  -2.76363134E-16   4.18821825E-31   2.92938767E+02
     580   5.800E+03     0.0037   1.000E+01   0.0000   0.0023   1.322E-16  -3.49329940E-16   6.21420690E-31   2.92937696E+02
     590   5.900E+03     0.0037   1.000E+01   0.0000   0.0024   1.321E-16   1.89663100E-16   5.49299085E-31   2.92936626E+02
     600   6.000E+03     0.0037   1.000E+01   0.0000   0.0024   2.153E-16   2.21936185E-16   6.64876010E-31   2.92935555E+02
     610   6.100E+03     0.0037   1.000E+01   0.0000   0.0024   2.207E-16  -2.89120579E-17   8.18480228E-31   2.92934484E+02
     620   6.200E+03     0.0037   1.000E+01   0.0000   0.0024   1.525E-16   1.66352753E-16   6.29172955E-31   2.92933414E+02
     630   6.300E+03     0.0039   1.000E+01   0.0000   0.0024   1.595E-16  -2.10335221E-17   4.18120770E-31   2.92932343E+02
     640   6.400E+03     0.0047   1.000E+01   0.0000   0.0024   1.748E-16  -1.31043903E-16   5.51724344E-31   2.92931273E+02
     650   6.500E+03     0.0038   1.000E+01   0.0000   0.0025   2.128E-16  -3.97902197E-17   8.32594833E-31   2.92930203E+02
     660   6.600E+03     0.0037   1.000E+01   0.0000   0.0025   1.304E-16  -1.75640752E-17   5.50304222E-31   2.92929133E+02
     670   6.700E+03     0.0037   1.000E+01   0.0000   0.0025   1.580E-16  -3.52004305E-17   5.80144099E-31   2.92928063E+02
     680   6.800E+03     0.0037   1.000E+01   0.0000   0.0025   1.854E-16   1.00541681E-16   7.33374270E-31   2.92926993E+02
     690   6.900E+03     0.0043   1.000E+01   0.0000   0.0025   2.127E-16  -3.48028897E-17   6.10169735E-31   2.92925923E+02
     700   7.000E+03     0.0037   1.000E+01   0.0000   0.0025   1.820E-16  -2.29272619E-16   5.68408130E-31   2.92924853E+02
     710   7.100E+03     0.0037   1.000E+01   0.0000   0.0025   1.573E-16  -1.47270795E-16   3.59503600E-31   2.92923784E+02
     720   7.200E+03     0.0047   1.000E+01   0.0000   0.0025   1.938E-16   4.33319468E-17   6.71979632E-31   2.92922714E+02
     730   7.300E+03     0.0061   1.000E+01   0.0000   0.0026   1.556E-16  -4.03106368E-16   7.30436266E-31   2.92921645E+02
     740   7.400E+03     0.0037   1.000E+01   0.0000   0.0026   2.123E-16   3.80735663E-16   5.54563649E-31   2.92920576E+02
     750   7.500E+03     0.0044   1.000E+01   0.0000   0.0026   2.046E-16   2.19261819E-16   6.09627106E-31   2.92919507E+02
     760   7.600E+03     0.0037   1.000E+01   0.0000   0.0026   1.807E-16   4.48136898E-17   7.16469219E-31   2.92918438E+02
     770   7.700E+03     0.0037   1.000E+01   0.0000   0.0026   1.793E-16  -3.89987521E-16   6.05736042E-31   2.92917369E+02
     780   7.800E+03     0.0047   1.000E+01   0.0000   0.0026   1.298E-16  -5.51786626E-16   6.83954649E-31   2.92916300E+02
     790   7.900E+03     0.0054   1.000E+01   0.0000   0.0026   1.978E-16  -3.23236808E-16   8.77698311E-31   2.92915231E+02
     800   8.000E+03     0.0058   1.000E+01   0.0000   0.0026   1.914E-16   4.83554169E-16   6.35142105E-31   2.92914163E+02
     810   8.100E+03     0.0060   1.000E+01   0.0000   0.0027   1.685E-16   3.21357524E-16   7.11831607E-31   2.92913094E+02
     820   8.200E+03     0.0038   1.000E+01   0.0000   0.0027   1.702E-16   1.38669458E-16   6.76322253E-31   2.92912026E+02
     830   8.300E+03     0.0037   1.000E+01   0.0000   0.0027   1.948E-16   4.46835855E-16   8.16832614E-31   2.92910958E+02
