    ITER        TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0   0.000E+00     0.0000   1.000E+01   0.0000   0.0497   0.000E+00   0.00000000E+00   0.00000000E+00   2.98250000E+02
      10   1.000E+02     0.0362   1.000E+01   0.0000   0.0494   3.377E-16   2.64501687E-14   1.23688040E-27   2.98248531E+02
      20   2.000E+02     0.0307   1.000E+01   0.0000   0.0491   3.452E-16   2.73173868E-14   2.56577104E-27   2.98247062E+02
      30   3.000E+02     0.0259   1.000E+01   0.0000   0.0489   3.139E-16  -1.25001669E-15   3.22019199E-27   2.98245593E+02
      40   4.000E+02     0.0257   1.000E+01   0.0000   0.0486   3.091E-16  -1.00955324E-14   4.37958183E-27   2.98244125E+02
      50   5.000E+02     0.0256   1.000E+01   0.0000   0.0483   3.070E-16   1.05707681E-16   5.34393137E-27   2.98242657E+02
      60   6.000E+02     0.0255   1.000E+01   0.0000   0.0480   3.629E-16  -9.07625798E-15   6.98198464E-27   2.98241189E+02
      70   7.000E+02     0.0285   1.000E+01   0.0000   0.0478   3.574E-16   1.37394562E-14   7.60759056E-27   2.98239722E+02
      80   8.000E+02     0.0257   1.000E+01   0.0000   0.0475   3.385E-16   3.62777164E-14   7.96574227E-27   2.98238255E+02
      90   9.000E+02     0.0255   1.000E+01   0.0000   0.0473   3.377E-16   3.57281872E-14   7.60073198E-27   2.98236788E+02
     100   1.000E+03     0.0256   1.000E+01   0.0000   0.0470   3.356E-16   2.92287486E-14   7.30340362E-27   2.98235322E+02
     110   1.100E+03     0.0256   1.000E+01   0.0000   0.0468   3.353E-16   2.63645016E-14   7.93110666E-27   2.98233856E+02
     120   1.200E+03     0.0257   1.000E+01   0.0000   0.0465   3.241E-16   4.06665126E-14   8.30475678E-27   2.98232390E+02
     130   1.300E+03     0.0255   1.000E+01   0.0000   0.0463   3.327E-16   3.36496185E-14   8.96450628E-27   2.98230925E+02
     140   1.400E+03     0.0275   1.000E+01   0.0000   0.0461   3.380E-16   5.27812048E-14   9.70211917E-27   2.98229460E+02
     150   1.500E+03     0.0266   1.000E+01   0.0000   0.0458   3.589E-16   5.03499119E-14   8.57102880E-27   2.98227996E+02
     160   1.600E+03     0.0257   1.000E+01   0.0000   0.0456   3.027E-16   6.91408930E-14   1.06681219E-26   2.98226532E+02
     170   1.700E+03     0.0255   1.000E+01   0.0000   0.0454   3.318E-16   5.79786483E-14   9.73324649E-27   2.98225069E+02
     180   1.800E+03     0.0279   1.000E+01   0.0000   0.0452   3.733E-16   5.14107188E-14   1.07527253E-26   2.98223606E+02
     190   1.900E+03     0.0266   1.000E+01   0.0000   0.0450   3.343E-16   6.57246278E-14   1.12457313E-26   2.98222143E+02
     200   2.000E+03     0.0256   1.000E+01   0.0000   0.0447   3.433E-16   5.19181786E-14   9.94807886E-27   2.98220681E+02
     210   2.100E+03     0.0255   1.000E+01   0.0000   0.0445   3.167E-16   5.35718222E-14   1.12689329E-26   2.98219220E+02
     220   2.200E+03     0.0286   1.000E+01   0.0000   0.0443   3.216E-16   4.47057101E-14   1.15528334E-26   2.98217759E+02
