    ITER        TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0   0.000E+00     0.0076   3.904E-01   1.0000   0.0028   2.637E-02   1.38921888E+01   1.01964670E+02   2.25002441E+02
      20   7.806E+00     4.1594   3.902E-01   1.0000   0.0027   1.341E-15   1.38916764E+01   1.01853083E+02   2.25001815E+02
      40   1.561E+01     3.2931   3.902E-01   1.0000   0.0027   1.408E-15   1.38910185E+01   1.01746933E+02   2.25001101E+02
      60   2.341E+01     3.3268   3.902E-01   1.0000   0.0026   1.418E-15   1.38902171E+01   1.01645496E+02   2.25000300E+02
      80   3.122E+01     3.2911   3.902E-01   1.0000   0.0025   1.426E-15   1.38892745E+01   1.01548176E+02   2.24999414E+02
     100   3.902E+01     3.3127   3.901E-01   1.0000   0.0025   1.370E-15   1.38881941E+01   1.01454485E+02   2.24998445E+02
     120   4.682E+01     3.3079   3.901E-01   0.9999   0.0024   1.318E-15   1.38869799E+01   1.01364007E+02   2.24997398E+02
     140   5.462E+01     3.7469   3.901E-01   1.0000   0.0024   1.362E-15   1.38856361E+01   1.01276359E+02   2.24996274E+02
     160   6.243E+01     4.9227   3.901E-01   1.0000   0.0023   1.297E-15   1.38841672E+01   1.01191227E+02   2.24995077E+02
     180   7.023E+01     3.6262   3.901E-01   1.0000   0.0023   1.340E-15   1.38825782E+01   1.01108340E+02   2.24993809E+02
     200   7.803E+01     3.3160   3.901E-01   1.0000   0.0023   1.328E-15   1.38808738E+01   1.01027458E+02   2.24992474E+02
     220   8.583E+01     3.3273   3.901E-01   1.0000   0.0022   1.284E-15   1.38790591E+01   1.00948372E+02   2.24991074E+02
     240   9.363E+01     3.5970   3.900E-01   1.0001   0.0022   1.338E-15   1.38771391E+01   1.00870905E+02   2.24989613E+02
     260   1.014E+02     3.3136   3.900E-01   1.0000   0.0021   1.287E-15   1.38751189E+01   1.00794902E+02   2.24988094E+02
     280   1.092E+02     4.0631   3.900E-01   1.0000   0.0021   1.324E-15   1.38730035E+01   1.00720228E+02   2.24986519E+02
     300   1.170E+02     4.1276   3.900E-01   1.0000   0.0021   1.301E-15   1.38707976E+01   1.00646762E+02   2.24984891E+02
     320   1.248E+02     3.4739   3.900E-01   1.0000   0.0020   1.385E-15   1.38685062E+01   1.00574400E+02   2.24983214E+02
     340   1.326E+02     3.4483   3.899E-01   1.0000   0.0020   1.322E-15   1.38661338E+01   1.00503047E+02   2.24981488E+02
     360   1.404E+02     3.3282   3.899E-01   1.0000   0.0020   1.337E-15   1.38636850E+01   1.00432625E+02   2.24979717E+02
     380   1.482E+02     3.3222   3.899E-01   1.0000   0.0020   1.276E-15   1.38611641E+01   1.00363063E+02   2.24977904E+02
     400   1.560E+02     3.2982   3.898E-01   1.0000   0.0020   1.426E-15   1.38585754E+01   1.00294295E+02   2.24976049E+02
     420   1.638E+02     3.3187   3.898E-01   1.0000   0.0019   1.365E-15   1.38559229E+01   1.00226266E+02   2.24974157E+02
     440   1.716E+02     3.3012   3.898E-01   1.0000   0.0019   1.327E-15   1.38532106E+01   1.00158927E+02   2.24972227E+02
     460   1.794E+02     3.3238   3.898E-01   1.0000   0.0019   1.344E-15   1.38504421E+01   1.00092234E+02   2.24970264E+02
     480   1.872E+02     3.3290   3.898E-01   1.0000   0.0019   1.362E-15   1.38476211E+01   1.00026150E+02   2.24968268E+02
     500   1.950E+02     3.3264   3.897E-01   1.0000   0.0019   1.498E-15   1.38447510E+01   9.99606314E+01   2.24966241E+02
     520   2.028E+02     3.3265   3.897E-01   1.0000   0.0018   1.303E-15   1.38418350E+01   9.98954292E+01   2.24964185E+02
     540   2.106E+02     3.3066   3.897E-01   1.0000   0.0018   1.378E-15   1.38388761E+01   9.98305496E+01   2.24962101E+02
     560   2.184E+02     3.2952   3.897E-01   1.0000   0.0018   1.260E-15   1.38358771E+01   9.97660195E+01   2.24959991E+02
     580   2.262E+02     3.2956   3.898E-01   1.0000   0.0018   1.219E-15   1.38328409E+01   9.97018361E+01   2.24957857E+02
     600   2.340E+02     3.3111   3.898E-01   1.0000   0.0018   1.171E-15   1.38297698E+01   9.96379864E+01   2.24955698E+02
     620   2.418E+02     3.3306   3.898E-01   1.0000   0.0018   1.132E-15   1.38266666E+01   9.95744640E+01   2.24953518E+02
     640   2.496E+02     3.3799   3.899E-01   1.0000   0.0018   1.181E-15   1.38235333E+01   9.95112547E+01   2.24951317E+02
     660   2.574E+02     3.3138   3.900E-01   1.0000   0.0017   1.202E-15   1.38203724E+01   9.94483492E+01   2.24949096E+02
     680   2.652E+02     3.3135   3.900E-01   1.0000   0.0017   1.197E-15   1.38171859E+01   9.93857390E+01   2.24946856E+02
     700   2.730E+02     3.3206   3.901E-01   1.0000   0.0017   1.189E-15   1.38139759E+01   9.93234142E+01   2.24944598E+02
     720   2.808E+02     3.2859   3.902E-01   1.0000   0.0017   1.175E-15   1.38107442E+01   9.92613674E+01   2.24942323E+02
     740   2.886E+02     3.2756   3.902E-01   1.0000   0.0017   1.211E-15   1.38074927E+01   9.91995894E+01   2.24940032E+02
     760   2.964E+02     3.3222   3.903E-01   1.0000   0.0017   1.352E-15   1.38042231E+01   9.91380761E+01   2.24937726E+02
     780   3.039E+02     3.6116   3.904E-01   0.9999   0.0017   1.234E-15   1.38010573E+01   9.90790519E+01   2.24935490E+02
